,|000|,|001|,|002|,|003|,|004|,|005|,|006|,|007|,|008|,|009|,|010|,|011|,|012|,|013|,|014|,|015|,|016|,|017|,|018|,|019|,|020|,|021|,|022|,|023|,|024|,|025|,|026|,|027|,|028|,|029|,|030|,|031|,|032|,|033|,|034|,|035|,|036|,|037|,|038|,|039|,|040|,|041|,|042|,|043|,|044|,|045|,|046|,|047|,|048|,|049|,|050|,|051|,|052|,|053|,|054|,|055|,|056|,|057|,|058|,|059|,|060|,|061|,|062|,|063|,|064|,|065|,|066|,|067|,|068|,|069|,|070|,|071|,|072|,|073|,|074|,|075|,|076|,|077|,|078|,|079|,|080|,|081|,|082|,|083|,|084|,|085|,|086|,|087|,|088|,|089|,|090|,|091|,|092|,|093|,|094|,|095|,|096|,|097|,|098|,|099|
|064|,0,0,0,0,0,0,0,-,0,-,-,0,0,0,0,0,80,-,60,99,-,0,0,0,0,0,90,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,40,0,40,-,0,90,0,-,0,90,99,0,-,-,0,0,0,0,99,0,0,0,0,0,0,0,-,0,0,-,0,0,0,0,0,0,90,60,0,99,0,0,0,0,0,-,0,0,0,0,0,-,0
|065|,0,0,-,99,0,40,-,-,-,0,-,0,-,-,0,-,80,0,-,-,0,0,0,-,50,90,0,-,0,90,99,0,-,-,0,0,0,40,0,60,0,0,-,0,-,0,80,0,0,-,0,0,0,0,-,0,-,0,-,0,-,60,0,0,99,0,0,0,0,60,99,0,0,-,-,80,0,0,90,40,-,0,0,0,0,-,0,0,0,0,0,-,0,0,0,0,-,-,0,0
|066|,0,0,0,0,-,-,-,-,-,-,0,40,0,-,-,40,-,0,0,0,60,0,0,0,-,-,-,-,0,-,0,-,-,0,0,40,0,0,0,-,0,0,0,0,0,-,30,-,0,0,0,0,40,0,90,0,0,90,-,0,0,-,90,0,0,-,0,0,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,-,0,0,0,-,0,0,0
|067|,0,0,-,0,0,40,-,0,99,-,-,0,0,-,-,0,0,-,0,0,0,0,80,60,80,-,0,-,0,-,-,0,0,-,99,-,0,0,-,-,0,0,-,0,0,-,-,0,0,0,0,0,0,40,0,0,0,0,60,0,90,0,0,80,-,0,30,-,-,99,60,0,0,0,-,-,-,99,0,0,0,0,0,-,0,-,20,0,-,0,0,-,0,0,0,-,-,-,0,-
|068|,0,60,0,99,0,0,0,-,0,-,0,0,0,0,0,40,0,0,-,-,0,99,0,0,0,-,90,90,-,0,80,-,40,0,-,90,0,0,0,80,-,0,0,-,0,0,-,-,0,30,0,0,0,0,99,-,-,0,0,0,-,-,50,99,0,-,0,-,0,0,0,0,0,0,0,0,0,-,0,40,0,0,-,0,0,90,0,0,0,0,99,-,0,0,0,0,-,-,60,0
|069|,0,0,0,0,40,40,0,0,-,-,-,-,0,-,0,-,0,0,0,0,0,0,0,0,0,0,50,60,0,0,0,-,-,-,-,0,0,-,0,0,0,-,-,0,0,0,0,-,-,0,90,-,0,30,60,30,0,0,0,0,30,99,-,0,0,-,-,99,0,0,0,0,0,0,80,-,-,0,0,90,0,-,0,0,0,99,0,0,0,0,0,-,0,0,0,0,-,0,0,-
|070|,0,0,0,-,0,0,0,0,-,0,40,-,-,40,0,0,0,0,0,0,0,-,0,0,0,0,90,-,0,0,40,99,0,-,-,-,0,-,-,0,0,0,0,0,0,-,0,0,-,0,-,0,-,0,40,0,0,-,0,0,-,0,0,0,0,0,-,-,0,0,0,0,90,0,0,0,-,0,0,-,-,-,-,0,0,0,0,0,0,0,-,-,60,60,0,-,0,0,0,0
|071|,0,0,0,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,50,-,90,0,99,0,-,0,-,-,-,0,0,0,0,0,0,0,90,0,0,0,-,-,60,-,0,-,-,-,-,50,-,0,0,0,0,0,99,0,-,0,0,0,-,0,-,99,0,0,-,-,40,0,0,0,0,-,0,0,0,0,60,0,-,0,0,60,0,0,0,0,-
|072|,0,0,0,40,0,40,0,-,0,40,0,0,40,-,80,0,0,0,0,0,0,0,0,99,0,-,90,-,0,0,0,0,-,-,0,99,0,60,0,99,0,60,99,0,0,60,0,-,0,0,0,99,0,0,0,0,0,0,-,0,0,99,0,0,0,0,0,-,0,0,60,0,-,0,0,0,0,0,0,0,0,0,90,60,0,-,60,60,0,0,0,-,0,0,60,0,0,0,0,0
|073|,0,0,0,0,99,99,0,-,-,0,0,0,0,0,-,0,0,0,0,0,80,0,-,0,0,-,99,90,99,40,-,99,0,0,0,0,0,90,-,0,0,0,-,-,99,-,99,0,0,0,0,0,0,-,40,-,0,0,0,0,0,80,-,0,0,0,0,-,0,0,0,0,0,80,0,90,0,0,0,40,0,0,0,-,20,20,60,99,0,0,0,-,0,-,0,0,60,0,0,-
|074|,0,0,60,-,-,40,-,0,40,-,0,40,0,0,0,0,-,40,0,-,0,0,0,0,-,0,0,-,0,0,50,-,0,-,90,0,90,0,0,90,0,-,0,0,-,0,0,99,0,0,0,-,0,0,0,0,0,99,0,0,-,0,-,0,0,0,0,0,90,-,0,-,0,0,0,0,0,0,60,0,0,0,0,20,60,0,-,-,-,60,-,0,0,0,0,0,0,0,0,0
|075|,0,0,0,-,-,40,-,40,-,0,0,0,0,0,0,0,0,0,99,99,0,99,99,0,0,60,0,0,90,40,0,0,-,0,-,-,-,-,0,0,-,0,0,0,-,0,0,0,99,-,0,0,0,50,-,0,0,0,0,99,0,0,99,0,0,-,-,0,-,-,0,99,0,0,0,0,0,0,0,0,0,0,0,99,0,20,-,0,-,0,60,-,0,-,60,0,0,0,-,0
|076|,0,0,0,40,0,40,40,0,-,40,0,0,0,0,80,0,0,99,0,-,80,0,-,99,99,99,99,90,-,-,0,0,50,-,-,-,0,0,0,0,-,0,-,0,0,0,-,-,99,0,0,0,-,0,40,0,-,0,0,0,0,0,0,90,-,-,-,-,-,-,60,80,0,0,0,0,-,0,0,0,20,0,0,-,0,-,0,-,-,0,-,-,-,-,60,0,0,0,-,0
|077|,0,0,-,99,0,0,-,99,-,-,0,0,0,0,0,0,99,0,99,0,0,0,0,0,0,-,99,0,-,-,90,-,-,-,0,50,-,-,0,-,-,0,0,0,0,0,99,99,0,0,50,-,0,-,0,-,0,0,0,-,99,0,0,0,0,-,-,-,-,0,0,0,0,0,0,0,90,0,0,40,0,60,0,-,-,20,0,-,0,60,-,-,-,-,0,0,0,0,0,0
|078|,0,0,-,40,-,-,-,0,40,-,0,0,0,0,0,0,99,0,40,0,0,0,60,0,-,0,0,-,0,0,40,-,99,-,0,-,-,0,50,-,-,0,50,-,0,50,0,-,-,-,0,0,0,0,0,0,99,0,0,-,0,0,0,0,0,-,0,0,0,-,0,0,60,0,0,-,0,0,-,0,0,0,0,-,0,0,-,0,0,0,-,-,0,60,0,0,0,0,-,0
|079|,0,0,99,0,0,0,-,40,40,40,-,-,0,0,0,0,99,0,0,0,0,0,0,-,0,0,0,90,0,99,40,0,90,90,90,0,-,40,40,40,40,90,0,0,0,0,99,0,0,0,0,0,0,40,0,90,60,-,0,60,0,0,0,0,0,-,-,99,0,90,-,0,-,0,-,0,-,-,40,0,-,99,0,20,0,20,0,0,60,60,0,0,0,-,0,0,-,-,0,0
|080|,-,-,-,-,-,40,-,-,0,99,-,0,40,0,80,0,0,99,-,-,80,-,-,99,90,-,0,0,0,0,-,0,-,0,40,90,90,0,-,0,40,-,0,0,0,99,0,0,0,0,90,0,-,99,60,-,80,-,0,0,-,0,0,0,-,-,0,-,-,-,0,90,-,-,0,-,0,0,0,0,60,-,0,0,0,60,60,0,0,60,60,-,60,0,0,0,0,-,0,0
|081|,-,-,0,0,0,-,-,0,0,0,0,-,-,0,99,-,0,0,99,-,0,0,90,0,-,0,90,0,90,-,0,99,40,-,-,-,90,0,0,90,99,0,40,0,99,0,-,0,-,0,99,0,-,0,0,99,0,0,0,0,0,60,-,-,0,0,0,80,-,-,0,0,-,-,0,0,0,-,0,0,0,0,0,0,20,0,0,0,0,60,0,-,-,-,0,0,0,-,-,0
|082|,-,0,0,0,-,-,-,40,0,0,-,0,99,0,-,0,-,-,0,0,99,-,90,0,-,0,-,0,40,-,90,0,0,40,0,0,0,-,-,40,40,40,99,90,0,-,0,0,0,0,0,0,0,60,0,-,0,0,0,0,0,-,60,99,-,90,0,0,0,0,-,0,-,0,0,0,20,0,0,99,60,-,-,60,0,0,60,60,0,60,-,-,0,0,0,0,-,0,-,-
|083|,0,-,99,0,-,0,60,0,0,0,0,40,0,99,0,-,0,0,0,0,0,99,0,99,0,0,40,-,0,0,-,-,90,-,99,40,99,40,99,40,99,99,0,0,0,99,-,0,-,0,0,40,-,-,0,-,0,0,-,0,0,-,60,0,-,0,0,0,0,60,0,0,-,0,-,-,-,99,0,-,60,0,0,0,0,0,0,-,0,-,60,-,-,0,0,-,0,0,-,-
|084|,0,0,99,0,0,0,-,0,-,0,0,0,0,0,40,0,0,99,0,40,0,0,99,-,-,-,99,0,99,0,0,99,0,0,99,40,99,0,99,40,0,0,0,0,0,0,99,0,0,-,0,99,0,80,-,0,0,-,0,0,0,0,60,-,80,0,60,-,-,0,0,-,-,0,-,20,0,0,0,-,20,0,60,0,60,0,0,-,-,-,-,0,-,0,-,0,0,20,0,20
|085|,0,-,0,0,-,0,-,0,-,0,0,0,-,0,0,0,-,0,0,90,40,99,99,0,0,40,0,0,90,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,60,0,0,90,0,0,0,90,0,-,90,0,0,-,-,0,0,0,0,0,-,-,0,0,-,40,-,0,-,0,60,0,0,60,20,0,0,0,60,-,0,0,20,-,0,20,0,0,-,20
|086|,0,0,0,99,0,0,-,0,0,0,-,-,0,99,0,-,0,0,-,80,-,-,0,0,40,0,99,0,-,0,0,0,-,90,0,90,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,60,0,0,0,0,0,0,-,0,-,-,0,0,-,0,0,-,-,0,60,0,0,0,-,0,20,20,60,0,20,-,-,-,-,0,0,0,-,-,0
|087|,-,0,0,99,-,-,0,0,-,0,0,-,0,99,0,0,0,0,-,0,0,99,0,40,80,0,0,40,-,90,0,0,0,-,0,90,40,0,0,0,0,0,99,0,0,0,0,99,60,0,-,0,0,-,-,-,0,99,0,0,0,-,0,0,0,0,0,0,-,0,0,0,0,40,0,20,-,-,0,0,0,-,-,0,0,0,0,60,0,0,0,0,0,-,0,0,0,0,-,-
|088|,0,0,0,0,0,99,0,0,0,60,-,0,0,99,0,-,0,90,-,0,60,-,-,0,0,0,0,0,0,0,90,0,90,90,0,0,90,0,99,0,0,0,0,0,40,-,0,80,0,0,-,-,0,0,0,90,0,0,80,-,0,0,0,60,-,0,-,-,0,99,0,-,0,0,0,99,-,60,0,60,-,-,0,0,0,60,0,-,0,0,0,0,0,-,0,0,0,-,-,0
|089|,-,0,0,0,-,-,0,99,0,-,0,0,0,0,99,0,-,-,0,-,-,-,-,40,80,-,-,80,40,0,0,40,0,0,0,90,0,0,0,-,-,0,0,99,-,0,0,-,60,0,0,0,99,0,-,0,0,0,0,-,0,0,0,0,40,40,0,0,0,0,0,0,40,0,-,20,20,0,0,60,-,0,0,60,0,-,-,-,-,0,0,0,0,-,0,0,-,0,0,0
|090|,-,0,0,0,-,0,0,0,0,0,99,0,0,0,0,-,99,90,-,-,-,0,99,-,0,0,0,0,0,0,80,0,0,99,0,-,0,-,0,40,0,90,0,80,90,0,0,0,90,-,0,0,0,0,60,0,-,0,0,0,0,-,0,99,0,0,0,60,0,0,-,0,0,0,-,-,0,0,0,-,60,0,-,-,-,0,-,0,0,0,0,-,0,-,-,0,-,-,0,-
|091|,-,0,0,-,0,-,0,-,-,0,0,-,0,99,0,0,0,99,99,-,0,-,99,60,99,-,0,99,80,0,40,0,-,80,0,90,40,0,99,80,0,0,99,-,99,0,0,-,-,0,80,0,0,0,0,0,0,0,0,-,0,0,40,40,40,0,0,0,0,40,60,0,0,0,0,0,0,0,0,-,-,-,0,0,0,60,0,-,0,-,0,0,-,-,-,0,0,-,0,0
|092|,0,0,-,-,0,0,-,0,-,-,0,0,0,0,0,0,0,90,0,-,99,-,0,99,0,99,99,0,99,-,0,99,0,0,-,99,80,40,0,-,99,-,0,0,80,99,-,60,-,0,0,99,60,0,-,99,0,-,0,0,0,0,40,40,40,0,0,40,-,-,0,0,99,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,-,0,-,0,-,-,-,20
|093|,-,0,-,0,0,-,-,-,-,0,0,0,0,0,0,0,0,90,0,-,-,-,0,0,40,0,60,99,0,99,-,40,0,99,-,-,99,-,0,40,-,-,0,-,0,0,0,0,0,0,-,0,-,-,-,60,0,-,0,60,40,0,-,60,0,-,0,-,-,-,0,0,-,-,-,0,0,0,0,0,0,-,-,0,0,20,20,0,0,0,0,0,0,-,-,0,0,0,-,0
|094|,-,-,0,0,-,-,-,0,-,0,0,0,0,0,0,-,0,0,-,0,0,0,-,0,-,40,0,0,0,60,-,90,40,0,60,0,-,-,0,0,60,0,40,0,0,0,0,0,0,-,0,0,0,0,0,0,0,40,0,0,60,0,0,0,-,60,0,0,-,-,-,-,0,-,0,-,0,-,20,20,-,60,0,0,-,20,0,0,0,0,0,0,0,20,0,0,-,0,20,0
|095|,0,-,-,-,0,-,0,0,0,-,-,0,0,0,0,0,60,0,0,90,0,0,0,-,0,-,0,-,0,90,-,-,-,-,0,0,-,0,-,0,-,0,-,0,0,40,0,-,0,40,0,0,0,40,0,0,0,0,0,0,0,0,0,0,-,0,0,-,-,-,0,-,-,-,-,-,-,20,-,20,0,-,-,0,0,20,0,0,0,0,0,-,20,20,E,20,20,0,0,0
|096|,0,-,0,0,0,-,-,0,0,0,0,0,-,0,-,0,0,0,0,0,90,-,0,90,0,90,40,0,0,0,-,-,40,-,0,-,-,0,0,0,-,0,0,-,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,-,0,0,0,0,0,0,0,-,0,0,0,20,0,0,-,0,20,-,0,20,0,0,0,20,20,-,0,0,0,-,-,0,0
|097|,0,-,-,0,0,0,-,0,-,0,-,0,0,0,-,0,-,0,-,0,-,0,0,0,0,0,0,0,40,-,40,40,40,-,-,0,0,-,-,0,-,0,-,-,-,0,0,-,0,0,0,0,-,0,0,0,-,0,0,-,-,-,0,-,0,0,-,99,-,-,0,0,0,0,-,20,60,0,0,-,0,0,0,0,0,0,20,20,20,20,-,-,-,0,-,-,-,-,0,0
|098|,0,0,-,0,0,-,0,0,0,0,-,0,-,0,0,0,0,0,-,-,0,-,60,-,0,-,0,-,0,-,0,-,-,0,-,-,0,-,0,0,0,0,-,-,-,0,0,-,0,-,0,0,-,0,0,-,-,0,-,0,60,0,-,-,0,0,0,0,0,0,-,-,0,-,-,0,0,20,0,0,0,20,0,0,0,0,0,0,0,-,0,-,-,0,-,0,-,0,0,0
|099|,0,0,99,-,-,-,-,-,-,-,0,0,0,0,0,99,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,60,-,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,0,0,0,0,0,0,-,20,0,0,20,-,-,-,-,0,0,20,-,0,0,0,0,0,-,-,0,-,-,-,-,0,-,0,0,0,-
